id_book,name
14563,"

الیا کازان
"
12690,"
کاترین میه
"
14671,"

برتولت برشت
"
14755,"
شارلوت گارسون
"
11649,"

جان الیاس
"
11649,"

شارن مریام
"
11746,"

داوود امیریان
"
11699,"

محمود دولت آبادی
"
11624,"

رافائل ژیوردانو
"
11624,"

رافائل ژیوردانو
"
12066,"

محمدرضا شفیعی کدکنی
"
12053,"

محمدرضا شفیعی کدکنی
"
12088,"

سید هافمن
"
18169,"
کوین مولیگن
"
11904,"

آنه فدیمن
"
11924,"

تونی موریسون
"
11924,"

تونی موریسون
"
11933,"

لئا ویازمسکی
"
14806,"

هوشنگ مرادی کرمانی
"
11712,"

احمد طالبی نژاد
"
11760,"

سارا سالار
"
11786,"

نائومی کلاین
"
11786,"

نائومی کلاین
"
18164,"

سوزانه لوده من
"
12091,"

کوین رابرتس
"
12065,"

محمدرضا شفیعی کدکنی
"
11696,"

مو اهارا
"
11670,"

ریچارد پل
"
11670,"

لیندا الدر
"
12027,"

فریدون مشیری
"
12005,"

جلال ستاری
"
11907,"

آریل دورفمن
"
18180,"

پیتر شیفر
"
18201,"

فرهاد کشوری
"
18249,"

سون اریک لیدمن
"
18347,"

جی بی پریستلی
"
18246,"

رابرت بی مارکس
"
18375,"

حسن بنی عامری
"
15244,"

فرانسس میرالس
"
15244,"

کاره سانتوس
"
15305,"

فیلیپا گریگوری
"
18239,"

نصرالله فلسفی
"
15314,"

تورنتون وایلدر
"
18351,"

میثم کیانی
"
15412,"

گی دو موپاسان
"
18254,"
هانس ابینگ
"
18445,"

هانتر اس تامپسون
"
15358,"

عباس صفاری
"
18332,"

عالیه عطایی
"
18286,"

شهاب الدین یحیی سهروردی
"
15238,"

الساندرو باریکو
"
18430,"

امیل لودویگ
"
18430,"

امیل لودویگ
"
18435,"

محمد دلاوری
"
15372,"
امین تویسرکانی
"
18268,"

نجف دریابندری
"
18319,"

محمدرضا صفدری
"
18410,"

مارگارت آتوود
"
15401,"

جان هالیدی
"
15401,"

جان چانگ
"
18324,"

مهناز کریمی
"
15477,"

موریس بلانشو
"
13693,"

جلال الدین محمد بلخی(مولانا)
"
15443,"

ایندو سندارسان
"
13661,"

مارک جی گازیوروسکی
"
15492,"

ماریانو سیگمان
"
13707,"

یکتا کوپان
"
13733,"

ری بردبری
"
13652,"

محمد شریفی
"
15524,"

محمد رضایی راد
"
15524,"

نغمه ثمینی
"
15482,"

لیدیا دیویس
"
15482,"

لیدیا دیویس
"
15503,"

کریس سالت
"
13812,"

بوریس گرویس
"
15417,"

ریشما سوجانی
"
15417,"

ریشما سوجانی
"
15417,"

ریشما سوجانی
"
15417,"

ریشما سوجانی
"
15469,"

ویل دورانت
"
15469,"

ویل دورانت
"
13725,"

مجموعه ی نویسندگان
"
15506,"

کریس سالت
"
13794,"

آلفرد دوبلین
"
13705,"

پیتر هاندکه
"
13793,"

استیون لوکس
"
13793,"

استیون لوکس
"
13749,"

مجید اخگر
"
15458,"

راجر کیمی ین
"
15495,"

برنار کی رینی
"
15454,"

مارتین هایدگر
"
13679,"

محمد سمیعی
"
2179,"

افسانه نجم آبادی
"
13884,"

بهرام بیضایی
"
2244,"

فرانک مک کورت
"
13926,"

محمدابراهیم آیتی بیرجندی
"
2202,"

آنتونی بیوور
"
13852,"

بیژن بیجاری
"
13899,"

بهرام بیضایی
"
